 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   3.70000 ,    -0.118128255237701E+00 ,    -0.621275140659874E+00 ,     0.244553122102903E+00 , 
   3.72000 ,    -0.169260119508841E-01 ,    -0.689341079127068E+00 ,     0.288312222352729E+00 , 
   3.74000 ,    -0.302684869627793E-01 ,    -0.687355941550856E+00 ,     0.297856429485008E+00 , 
   3.76000 ,    -0.165586566000299E+00 ,    -0.621192149245079E+00 ,     0.274668706583716E+00 , 
   3.78000 ,    -0.346850234488430E+00 ,    -0.524630721359943E+00 ,     0.232685459108037E+00 , 
   3.80000 ,    -0.455403540765217E+00 ,    -0.440377408880476E+00 ,     0.190352590851675E+00 , 
   3.82000 ,    -0.400943224500680E+00 ,    -0.399288535349377E+00 ,     0.161926338393997E+00 , 
   3.84000 ,    -0.178098665396186E+00 ,    -0.409048337969557E+00 ,     0.152788507661109E+00 , 
   3.86000 ,     0.127479338415146E+00 ,    -0.456277913913447E+00 ,     0.160265289356595E+00 , 
   3.88000 ,     0.386866669669886E+00 ,    -0.517452469232742E+00 ,     0.177692009331903E+00 , 
   3.90000 ,     0.498264660191376E+00 ,    -0.569936923814871E+00 ,     0.197946868809181E+00 , 
   3.92000 ,     0.436097420022001E+00 ,    -0.597079438566041E+00 ,     0.214270572985041E+00 , 
   3.94000 ,     0.251699839555531E+00 ,    -0.587729727207757E+00 ,     0.219340131307700E+00 , 
   3.96000 ,     0.319054227190573E-01 ,    -0.535264829531551E+00 ,     0.205515915916291E+00 , 
   3.98000 ,    -0.152113385192506E+00 ,    -0.440438465324166E+00 ,     0.168170307896687E+00 , 
   4.00000 ,    -0.272071811213976E+00 ,    -0.317024486824191E+00 ,     0.110743276776230E+00 , 
   4.02000 ,    -0.334231981287205E+00 ,    -0.194141766465636E+00 ,     0.473897176126774E-01 , 
   4.04000 ,    -0.351257009820642E+00 ,    -0.109225970671578E+00 ,    -0.565588884219382E-03 , 
   4.06000 ,    -0.322170617534032E+00 ,    -0.917441522813932E-01 ,    -0.143084276931720E-01 , 
   4.08000 ,    -0.237418576460599E+00 ,    -0.145749023943327E+00 ,     0.115462557698456E-01 , 
   4.10000 ,    -0.102196557975059E+00 ,    -0.242897990866581E+00 ,     0.638491187067039E-01 , 
   4.12000 ,     0.459288595681854E-01 ,    -0.332951779025939E+00 ,     0.116019124452604E+00 , 
   4.14000 ,     0.145779983228930E+00 ,    -0.368172744791584E+00 ,     0.141530233270587E+00 , 
   4.16000 ,     0.147195163602373E+00 ,    -0.328376699112499E+00 ,     0.128215314337469E+00 , 
   4.18000 ,     0.485573513371574E-01 ,    -0.231608748986608E+00 ,     0.846527521934037E-01 , 
   4.20000 ,    -0.916499895773044E-01 ,    -0.123442346322158E+00 ,     0.344906058959266E-01 , 
   4.22000 ,    -0.182113990201634E+00 ,    -0.509402364480448E-01 ,     0.212560384757592E-02 , 
   4.24000 ,    -0.150826665748197E+00 ,    -0.368793993182067E-01 ,    -0.130613225918928E-02 , 
   4.26000 ,     0.101742523308865E-01 ,    -0.695299890520346E-01 ,     0.170575780751097E-01 , 
   4.28000 ,     0.236236631015154E+00 ,    -0.113238156402005E+00 ,     0.384910127051702E-01 , 
   4.30000 ,     0.423593181857544E+00 ,    -0.131954661524054E+00 ,     0.460905957159132E-01 , 
   4.32000 ,     0.484445418649685E+00 ,    -0.110302075680423E+00 ,     0.357394199875232E-01 , 
   4.34000 ,     0.390985862928703E+00 ,    -0.594963702941202E-01 ,     0.175181799935316E-01 , 
   4.36000 ,     0.184810606290793E+00 ,    -0.613196778172074E-02 ,     0.722303069507512E-02 , 
   4.38000 ,    -0.492398016049792E-01 ,     0.270194742414695E-01 ,     0.143777388646041E-01 , 
   4.40000 ,    -0.225671087768457E+00 ,     0.348684057769649E-01 ,     0.352103256464622E-01 , 
   4.42000 ,    -0.292931582004598E+00 ,     0.302304087372477E-01 ,     0.552424079084902E-01 , 
   4.44000 ,    -0.245753663963893E+00 ,     0.321932659481302E-01 ,     0.592845409389989E-01 , 
   4.46000 ,    -0.116756806693647E+00 ,     0.522037329553519E-01 ,     0.416193494008335E-01 , 
   4.48000 ,     0.414495841880738E-01 ,     0.877907282701586E-01 ,     0.938681300667662E-02 , 
   4.50000 ,     0.173438810847222E+00 ,     0.127186651661777E+00 ,    -0.227457674215344E-01 , 
   4.52000 ,     0.234382325123148E+00 ,     0.159839346892451E+00 ,    -0.424247629504775E-01 , 
   4.54000 ,     0.201596767942869E+00 ,     0.184044389111032E+00 ,    -0.469278574977421E-01 , 
   4.56000 ,     0.842884198003096E-01 ,     0.206057451501546E+00 ,    -0.431928108860216E-01 , 
   4.58000 ,    -0.738524436701497E-01 ,     0.232214616379259E+00 ,    -0.412591030385367E-01 , 
   4.60000 ,    -0.206195699583373E+00 ,     0.261108796401178E+00 ,    -0.464133606776253E-01 , 
   4.62000 ,    -0.249413927006641E+00 ,     0.282602819106273E+00 ,    -0.558133170719998E-01 , 
   4.64000 ,    -0.173924582042713E+00 ,     0.284838194416439E+00 ,    -0.616470611602118E-01 , 
   4.66000 ,    -0.134053693742944E-02 ,     0.263921675477391E+00 ,    -0.579154901515382E-01 , 
   4.68000 ,     0.203499906785279E+00 ,     0.228666598784515E+00 ,    -0.454135708726861E-01 , 
   4.70000 ,     0.363534405399605E+00 ,     0.196368910729797E+00 ,    -0.311515760857854E-01 , 
   4.72000 ,     0.426100397553042E+00 ,     0.182318061861225E+00 ,    -0.228629108992587E-01 , 
   4.74000 ,     0.383731102173901E+00 ,     0.190464640639216E+00 ,    -0.229867166298780E-01 , 
