Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
175145.841     1062167     5457377  0.849E-03  0.693E-02  0.133E+06  0.121E+01  0.962E+02  0.222E+02
180145.819     1065036     5484692  0.831E-03  0.689E-02  0.626E+05  0.122E+01  0.105E+03  0.268E+02
181145.824     1067820     5512068  0.813E-03  0.686E-02  0.563E+05  0.121E+01  0.108E+03  0.335E+02
182145.839     1070553     5539429  0.805E-03  0.683E-02  0.472E+05  0.122E+01  0.108E+03  0.322E+02
183145.835     1073778     5566612  0.827E-03  0.678E-02  0.932E+05  0.123E+01  0.972E+02  0.222E+02
184145.827     1076678     5593946  0.818E-03  0.673E-02  0.117E+06  0.122E+01  0.101E+03  0.263E+02
185145.833     1079522     5621324  0.806E-03  0.670E-02  0.576E+05  0.125E+01  0.105E+03  0.274E+02
190145.846     1082717     5648492  0.831E-03  0.665E-02  0.377E+06  0.128E+01  0.947E+02  0.181E+02
191145.839     1085832     5675877  0.810E-03  0.660E-02  0.773E+05  0.127E+01  0.105E+03  0.245E+02
192145.832     1089081     5703046  0.820E-03  0.655E-02  0.161E+06  0.126E+01  0.962E+02  0.206E+02
193145.829     1092532     5730163  0.829E-03  0.649E-02  0.121E+06  0.130E+01  0.933E+02  0.230E+02
194145.818     1095704     5757568  0.811E-03  0.645E-02  0.651E+05  0.132E+01  0.994E+02  0.268E+02
195145.867     1098632     5784909  0.792E-03  0.642E-02  0.539E+05  0.135E+01  0.103E+03  0.311E+02
200145.822     1101448     5812261  0.769E-03  0.639E-02  0.483E+05  0.134E+01  0.108E+03  0.346E+02
201145.843     1104240     5839621  0.756E-03  0.637E-02  0.456E+05  0.133E+01  0.108E+03  0.359E+02
202145.878     1107484     5866714  0.777E-03  0.632E-02  0.831E+05  0.129E+01  0.997E+02  0.249E+02
203145.835     1110415     5894058  0.766E-03  0.628E-02  0.778E+05  0.126E+01  0.104E+03  0.280E+02
204145.845     1113184     5921409  0.761E-03  0.624E-02  0.488E+05  0.129E+01  0.105E+03  0.253E+02
205145.842     1116043     5948728  0.755E-03  0.621E-02  0.545E+05  0.135E+01  0.110E+03  0.258E+02
210145.839     1118813     5976113  0.740E-03  0.617E-02  0.746E+05  0.134E+01  0.108E+03  0.329E+02
211145.859     1121526     6003437  0.728E-03  0.615E-02  0.681E+05  0.134E+01  0.111E+03  0.297E+02
212145.863     1124544     6030559  0.747E-03  0.611E-02  0.144E+07  0.134E+01  0.996E+02  0.221E+02
213145.833     1127540     6057952  0.747E-03  0.606E-02  0.649E+05  0.132E+01  0.105E+03  0.225E+02
214145.826     1130741     6085118  0.770E-03  0.601E-02  0.165E+06  0.132E+01  0.972E+02  0.152E+02
215145.844     1133864     6112593  0.751E-03  0.597E-02  0.765E+05  0.135E+01  0.105E+03  0.257E+02
220145.927     1136861     6139960  0.736E-03  0.593E-02  0.989E+05  0.137E+01  0.106E+03  0.284E+02
