 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   1.82000 ,    -0.607961865861495E+01 ,     0.652681636353635E+01 ,     0.682328409459966E+00 ,    -0.621284047852779E+01 ,    -0.853598210849382E+00 ,    -0.155521475374537E+01 , 
   1.83000 ,    -0.408246657379666E+01 ,     0.554985358245740E+01 ,     0.472973953965444E+00 ,    -0.411900936007143E+01 ,     0.346711960694419E+00 ,    -0.196390701947752E+01 , 
   1.84000 ,    -0.223379073115611E+01 ,     0.301962529536237E+01 ,     0.107223578806073E+00 ,    -0.217395440568148E+01 ,     0.150692081692866E+01 ,    -0.226890695301358E+01 , 
   1.85000 ,    -0.100215270190431E+01 ,    -0.524775681984394E+00 ,    -0.335252594065684E+00 ,    -0.871134845499229E+00 ,     0.233846881687208E+01 ,    -0.238630539237498E+01 , 
   1.86000 ,    -0.750540952326584E+00 ,    -0.423617514343153E+01 ,    -0.744624633194974E+00 ,    -0.592862506512917E+00 ,     0.262301688574920E+01 ,    -0.227994115163819E+01 , 
   1.87000 ,    -0.164291981408975E+01 ,    -0.714826124115687E+01 ,    -0.100497151585358E+01 ,    -0.151198990396974E+01 ,     0.226622756677170E+01 ,    -0.197361429765514E+01 , 
   1.88000 ,    -0.358903424207976E+01 ,    -0.840931539601119E+01 ,    -0.102277595900828E+01 ,    -0.353435001746569E+01 ,     0.132320189428339E+01 ,    -0.154717461015239E+01 , 
   1.89000 ,    -0.624196330670329E+01 ,    -0.750761228962181E+01 ,    -0.753674473374149E+00 ,    -0.629702644356936E+01 ,    -0.103988886956907E-01 ,    -0.111682171645270E+01 , 
   1.90000 ,    -0.905183127428525E+01 ,    -0.443410853038881E+01 ,    -0.221104691808839E+00 ,    -0.922569611558448E+01 ,    -0.143940194971431E+01 ,    -0.804242456562432E+00 , 
   1.91000 ,    -0.113667688841898E+02 ,     0.260533580948607E+00 ,     0.478287870037144E+00 ,    -0.116412623481423E+02 ,    -0.263269644683189E+01 ,    -0.702434935302497E+00 , 
   1.92000 ,    -0.125613858730018E+02 ,     0.553555390280267E+01 ,     0.118515853093790E+01 ,    -0.128946734011969E+02 ,    -0.329459050965473E+01 ,    -0.847336440160352E+00 , 
   1.93000 ,    -0.121661476008191E+02 ,     0.100494131572269E+02 ,     0.170330457978061E+01 ,    -0.125017977221755E+02 ,    -0.322769363867124E+01 ,    -0.120327566589736E+01 , 
