Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
130156.532     1918078    10107577  0.843E-03  0.755E-03  0.200E+04  0.197E+02
131156.542     1924770    10171715  0.847E-03  0.745E-03  0.237E+04  0.203E+02
132156.518     1931603    10236012  0.851E-03  0.734E-03  0.248E+04  0.216E+02
133156.552     1938316    10300459  0.853E-03  0.724E-03  0.177E+04  0.207E+02
134156.551     1945070    10364701  0.855E-03  0.714E-03  0.243E+04  0.223E+02
135156.525     1951971    10430112  0.858E-03  0.704E-03  0.205E+04  0.222E+02
140156.515     1958809    10495462  0.862E-03  0.694E-03  0.206E+04  0.226E+02
141156.506     1965466    10561031  0.864E-03  0.685E-03  0.189E+04  0.218E+02
142156.530     1972298    10626752  0.870E-03  0.675E-03  0.265E+04  0.213E+02
143156.504     1978963    10692433  0.868E-03  0.666E-03  0.217E+04  0.219E+02
144156.494     1985762    10757869  0.869E-03  0.657E-03  0.286E+04  0.227E+02
145156.530     1992514    10823321  0.869E-03  0.649E-03  0.231E+04  0.222E+02
150156.533     1999214    10888621  0.870E-03  0.640E-03  0.223E+04  0.230E+02
151156.503     2005893    10954211  0.873E-03  0.632E-03  0.293E+04  0.211E+02
152156.481     2012413    11019686  0.875E-03  0.624E-03  0.436E+04  0.207E+02
153156.515     2019160    11085245  0.883E-03  0.615E-03  0.373E+04  0.210E+02
154156.508     2026035    11151859  0.886E-03  0.606E-03  0.422E+04  0.219E+02
155156.528     2032703    11217416  0.889E-03  0.598E-03  0.469E+04  0.219E+02
160156.525     2039374    11282784  0.889E-03  0.590E-03  0.204E+04  0.232E+02
161156.526     2045832    11348148  0.892E-03  0.583E-03  0.322E+04  0.238E+02
162156.481     2052432    11413982  0.892E-03  0.575E-03  0.351E+04  0.244E+02
163156.525     2059033    11479069  0.897E-03  0.567E-03  0.473E+04  0.246E+02
164156.506     2065633    11544670  0.902E-03  0.560E-03  0.307E+04  0.250E+02
165156.498     2072181    11610322  0.903E-03  0.553E-03  0.422E+04  0.242E+02
170156.485     2078728    11676905  0.904E-03  0.546E-03  0.342E+04  0.231E+02
171156.499     2085322    11743030  0.906E-03  0.539E-03  0.399E+04  0.250E+02
172156.504     2091700    11808124  0.910E-03  0.533E-03  0.366E+04  0.252E+02
173156.504     2098193    11873447  0.911E-03  0.526E-03  0.487E+04  0.256E+02
174156.493     2104767    11939167  0.916E-03  0.519E-03  0.403E+04  0.253E+02
175156.510     2111506    12004696  0.924E-03  0.512E-03  0.403E+04  0.253E+02
180156.494     2118682    12069918  0.937E-03  0.506E-03  0.115E+05  0.255E+02
181156.514     2125431    12135207  0.934E-03  0.499E-03  0.408E+04  0.254E+02
182156.520     2131976    12200742  0.936E-03  0.493E-03  0.557E+04  0.250E+02
183156.506     2138438    12266552  0.940E-03  0.487E-03  0.461E+04  0.251E+02
184156.501     2144885    12331783  0.938E-03  0.481E-03  0.348E+04  0.253E+02
185156.524     2151393    12397258  0.940E-03  0.475E-03  0.520E+04  0.265E+02
190156.485     2157814    12462810  0.942E-03  0.469E-03  0.660E+04  0.248E+02
191156.500     2164309    12528955  0.944E-03  0.463E-03  0.757E+04  0.247E+02
192156.489     2170756    12594474  0.948E-03  0.457E-03  0.391E+04  0.257E+02
193156.511     2177093    12659914  0.952E-03  0.451E-03  0.429E+04  0.256E+02
194156.492     2183463    12725506  0.954E-03  0.445E-03  0.368E+04  0.271E+02
195156.511     2189901    12791204  0.958E-03  0.439E-03  0.570E+04  0.268E+02
200156.502     2196151    12857077  0.958E-03  0.434E-03  0.494E+04  0.300E+02
201156.516     2202291    12922219  0.959E-03  0.429E-03  0.475E+04  0.278E+02
202156.544     2208647    12987477  0.963E-03  0.424E-03  0.491E+04  0.309E+02
203156.504     2215077    13052840  0.968E-03  0.418E-03  0.668E+04  0.284E+02
204156.483     2221266    13118193  0.969E-03  0.414E-03  0.520E+04  0.294E+02
205156.546     2227687    13184101  0.971E-03  0.408E-03  0.661E+04  0.277E+02
210156.497     2233945    13249455  0.974E-03  0.403E-03  0.665E+04  0.281E+02
211156.520     2240149    13314681  0.977E-03  0.399E-03  0.601E+04  0.289E+02
212156.509     2246452    13379840  0.980E-03  0.394E-03  0.730E+04  0.288E+02
213156.482     2252722    13444917  0.980E-03  0.389E-03  0.606E+04  0.281E+02
214156.505     2258946    13510297  0.985E-03  0.385E-03  0.405E+04  0.279E+02
215156.524     2265176    13575845  0.989E-03  0.380E-03  0.460E+04  0.284E+02
220156.498     2271449    13641478  0.992E-03  0.375E-03  0.469E+04  0.295E+02
221156.525     2277701    13706791  0.995E-03  0.371E-03  0.803E+04  0.289E+02
222156.496     2283846    13772474  0.996E-03  0.366E-03  0.626E+04  0.286E+02
223156.497     2290057    13838085  0.100E-02  0.362E-03  0.544E+04  0.282E+02
224156.488     2296234    13903742  0.101E-02  0.358E-03  0.493E+04  0.278E+02
225156.518     2302363    13969500  0.101E-02  0.353E-03  0.681E+04  0.268E+02
230156.523     2308534    14034969  0.101E-02  0.349E-03  0.966E+04  0.264E+02
231156.536     2314687    14100768  0.102E-02  0.345E-03  0.781E+04  0.270E+02
232156.496     2320766    14166156  0.102E-02  0.341E-03  0.913E+04  0.281E+02
233156.486     2326900    14231921  0.102E-02  0.337E-03  0.613E+04  0.269E+02
